Promocional*,Urbanístico*,"Latitud, Longitud*",Dirección ,Municipio*,Provincia*,Comunidad Autónoma*,Tipología de asentamiento principal (ver pestaña ayuda)*,Tipología del asentamiento secundaria( ver pestaña ayuda),"FUENTE (nación rotonda, 6000km, etc)*",enlace web,Enlance a mapa de foto aérea en el que se visualice el cadáver ,"Fecha, autor, fuente de la foto",Padre o Madre adoptivo del cadáver,Superficie del terreno (m2),Superficie construida (m2),Suelo ocupado actual (%),Viviendas,Plazas hoteleras,Parcelas uso industrial,Parcelas uso comercial,Parcelas uso equipamiento,Selección desplegable,Comentarios/ otras opciones,Promotor,Constructor,Arquitecto o técnico redactor,Descripción,Código INE Municipio,Código INE Provincia,Seleccion desplegable,Comentarios / otros,Selección desplegable,Comentarios / otros,Edificabilidad absoluta planificada o aprobada (m2),Viviendas,Plazas hoteleras,Parcelas uso industrial,Parcelas uso comercial,Parcelas uso equipamiento,Número de habitantes previsto,Número de visitantes previsto ( aplicable a centros de ocio),"Convenio
urbanístico
","Plan parcial 
","Modificación puntual
de PGOU ","Proyecto
urbanístico ",Licencia de obras,Otras fechas,"Convenio
urbanístico
","Plan parcial 
","Modificación puntual
de PGOU ","Proyecto
urbanístico ",Licencia de obras,Otros,"Convenio
urbanístico
","Plan parcial 
","Modificación puntual
de PGOU ","Proyecto
urbanístico ",Licencia de obras,Otros,Recursos interpuestos,Sentencias judiciales,Número y fecha de la sentencia,Tribunal que la dicta,Fallo,Hipotecas y cargas,Cuantía de la hipoteca (€),Concurso de acreedores del promotor,Entidades financieras vinculadas,Figuras de protección ambiental,"Nombre y categoría, en su caso",Zonificación (nivel de protección),Dominio público marítimo-terrestre,Enlaces a noticias de prensa,Material gráfico y promocional,Archivos adjuntos
Ensanche de Vallecas,UE5- PAU Ensanche de Vallecas,"40.3599747,-3.584923",Poligono UZP0301 Valdecarros,Madrid,Madrid,Comunidad de Madrid,NEU - Nueva entidad urbana,-,"Ruinas modernas, 6000km",,"https://www.google.es/maps/place/40%C2%B021'42.5%22N+3%C2%B035'03.0%22W/@40.3599747,-3.584923,4412m/data=!3m1!1e3!4m2!3m1!1s0x0:0x0",,,717000,,,28058,,,,,Urbanización terminada,,,,,,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monte de la Villa,,"40.3683816,-3.9315446",Urbanizacion Monte de la Villa M-5,Villaviciosa de Odón,Madrid,Comunidad de Madrid,NEU - Nueva entidad urbana,-,Ecologistas en Acción,http://www.6000km.org/localizaciones/residencial-francisco-hernando-pau-el-quinon-y-autopista-de-peaje-radial-4/,"https://www.google.es/maps/place/Villaviciosa+de+Od%C3%B3n,+Madrid/@40.3683816,-3.9315446,1213m/data=!3m1!1e3!4m2!3m1!1s0xd4191d64928cf25:0x1e92effd6c47db61",,,,,,,,,,,Urbanización terminada,,,,,,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Municipal de Gestión Inmobiliaria de Alcorcón,Ensanche Sur de Alcorcón,"40.3327816,-3.8301231",Barrio Ensanche Sur de Alcorcón,Alcorcón,Madrid,Comunidad de Madrid,NEU - Nueva entidad urbana,-,Ecologistas en Acción,,"https://www.google.es/maps/place/Alcorc%C3%B3n,+Madrid/@40.3327816,-3.8301231,2300m/data=!3m1!1e3!4m2!3m1!1s0xd41892d0db41ee3:0x56cefdbd91fdc2cf",,,1981400,,,4132,,,,,Edificación no terminada,,,,,,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rivas Vaciamadrid,"sector SUS ""Vaciamadrid""","40.3819578,-3.5317531",Cristo de Rivas,Rivas Vaciamadrid,Madrid,Comunidad de Madrid,NEU - Nueva entidad urbana,-,Ecologistas en Acción,http://es.wikipedia.org/wiki/Ensanche_Sur_de_Alcorc%C3%B3n,"https://www.google.es/maps/place/Cristo+de+Rivas,+28052+Madrid/@40.3819578,-3.5317531,2306m/data=!3m1!1e3!4m2!3m1!1s0xd423af0a83a21d9:0x48e8b9eac6098872",,,,,,,,,,,Urbanización terminada,,,,,,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ventorro,"Polígono ""Ventorro""","40.3931364,-3.8395284",Polígono Industrial Ventorro del Cano,,Madrid,Comunidad de Madrid,ZIP - Zona industrial vinculada a población,-,Ecologistas en Acción,,"https://www.google.es/maps/place/Pol%C3%ADgono+Industrial+Ventorro+del+Cano/@40.3931364,-3.8395284,788m/data=!3m1!1e3!4m2!3m1!1s0x0000000000000000:0xcb9f027fcade8aa2",,,,,,,,,,,Urbanización terminada,,,,,,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polígono en Parla,,"40.2300799,-3.7475361","Paseo de Nicaragua, Parla",Parla,Madrid,Comunidad de Madrid,ZIP - Zona industrial vinculada a población,-,Ecologistas en Acción,,"https://www.google.es/maps/place/Paseo+de+Nicaragua,+28983+Parla,+Madrid/@40.2300799,-3.7475361,735m/data=!3m1!1e3!4m17!1m14!4m13!1m3!2m2!1d-3.7483797!2d40.2304624!1m3!2m2!1d-3.7475999!2d40.2306609!1m3!2m2!1d-3.7451815!2d40.2311972!3e2!3m1!1s0xd41f55f114ea47f:0x984d78e7c56209c4",,,,,,,,,,,Urbanización terminada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extensión de Arroyomolinos,Sectores “Valdefuentes”,"40.2684587,-3.9101619",Arroyomolinos,Arroyomolinos,Madrid,Comunidad de Madrid,NOE - Nuevo desarrollo urbano,-,Nación rotonda,,"https://www.google.es/maps/place/Calle+de+Fuengirola,+16,+28939+Arroyomolinos,+Madrid/@40.2684587,-3.9101619,4861m/data=!3m1!1e3!4m2!3m1!1s0xd418d60291bdf5d:0xd3b84c8ce3cbc941!6m1!1e1?hl=es",,,,,,,,,,,Edificación no terminada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remate norte del PAU Las Tablas,PAU II- 3,"40.5117423,-3.6763732",Las Tablas,Madrid,Madrid,Comunidad de Madrid,NOE - Nuevo desarrollo urbano,-,Ecologistas en Acción,http://www.nacionrotonda.com/2013/05/arroyomolinos-madrid-2002-2012.html,"https://www.google.es/maps/place/Calle+Castrillo+de+Polvazares,+4,+28049+Madrid/@40.5117423,-3.6763732,2062m/data=!3m1!1e3!4m2!3m1!1s0xd422becad06d58d:0x751f02d0fc7eae53!6m1!1e1?hl=es",,,,,,,,,,,Proyecto tramitado (no iniciado),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Peluquera,Sector I - 5,"40.2211609,-3.6423108","Calle P la Peluquera, Valdemoro",Valdemoro,Madrid,Comunidad de Madrid,ZIP - Zona industrial vinculada a población,-,Ecologistas en Acción,,"https://www.google.es/maps/place/Valdemoro,+Madrid/@40.2206722,-3.6376885,3080m/data=!3m1!1e3!4m2!3m1!1s0xd421ec0155a7707:0xe6f304a39ba292f!6m1!1e1?hl=es",,,1109000,,,,,,,,Urbanización terminada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipamiento General de Valdegrulla,AOE 00.01,"40.5235345,-3.6785896","Poligono 17 Rustica, Madrid",Madrid,Madrid,Comunidad de Madrid,TIA - Infraestructuras de impacto territorial ,-,Ecologistas en Acción,https://sede.valdemoro.es/i-5-la-peluquera,"https://www.google.es/maps/@40.5235345,-3.6785896,2320m/data=!3m1!1e3?hl=es",,,735300,,,,,,,,Proyecto tramitado (no iniciado),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ámbito urbanístico afectado por la sentencia del Tribunal Supremo de 27 de febrero de 2003, casada parcialmente por sentencia del Tribunal Supremo de 3 de julio de 2007.",,,,,,,,,,,,,,
