Promocional*,Urbanístico*,"Latitud, Longitud*",Dirección ,Municipio*,Provincia*,Comunidad Autónoma*,Tipología de asentamiento principal (ver pestaña ayuda)*,Tipología del asentamiento secundaria( ver pestaña ayuda),"FUENTE (nación rotonda, 6000km, etc)*",enlace web,Enlance a mapa de foto aérea en el que se visualice el cadáver ,"Fecha, autor, fuente de la foto",Padre o Madre adoptivo del cadáver,Superficie del terreno (m2),Superficie construida (m2),Suelo ocupado actual (%),Viviendas,Plazas hoteleras,Parcelas uso industrial,Parcelas uso comercial,Parcelas uso equipamiento,Selección desplegable,Comentarios/ otras opciones,Promotor,Constructor,Arquitecto o técnico redactor,Descripción,Código INE Municipio,Código INE Provincia,Seleccion desplegable,Comentarios / otros,Selección desplegable,Comentarios / otros,Edificabilidad absoluta planificada o aprobada (m2),Viviendas,Plazas hoteleras,Parcelas uso industrial,Parcelas uso comercial,Parcelas uso equipamiento,Número de habitantes previsto,Número de visitantes previsto ( aplicable a centros de ocio),"Convenio
urbanístico
","Plan parcial 
","Modificación puntual
de PGOU ","Proyecto
urbanístico ",Licencia de obras,Otras fechas,"Convenio
urbanístico
","Plan parcial 
","Modificación puntual
de PGOU ","Proyecto
urbanístico ",Licencia de obras,Otros,"Convenio
urbanístico
","Plan parcial 
","Modificación puntual
de PGOU ","Proyecto
urbanístico ",Licencia de obras,Otros,Recursos interpuestos,Sentencias judiciales,Número y fecha de la sentencia,Tribunal que la dicta,Fallo,Hipotecas y cargas,Cuantía de la hipoteca (€),Concurso de acreedores del promotor,Entidades financieras vinculadas,Figuras de protección ambiental,"Nombre y categoría, en su caso",Zonificación (nivel de protección),Dominio público marítimo-terrestre,Enlaces a noticias de prensa,Material gráfico y promocional,Archivos adjuntos
Fortuna Hill Nature and Residential Golf Resort,SU “las Lamparillas”,"38.156486, -1.114678","Carretera C-3223 y A5, Lamparillas",Fortuna,------,Región de Murcia,NEU - Nueva entidad urbana,DEO - Desarrollo ligado a instalaciones de ocio,Ruinas Modernas- Mediturban-,http://www.juliaschulzdornburg.com/cas/fortuna-hill-nature-and-residential-golf-resort?page_id=1258,http://www2.ign.es/iberpix/visoriberpix/visorign.html?x=665316&y=4224812&zone=30&r=936&visible=PNOA;,IGN-PNOA. Vuelo 2013-06,Ruinas Modernas,1868680,,"0,17",221,,,,,Edificación no terminada,La urbanización tampoco está acabada,Eurocasas del Grupo San Antonio (urbanización) Gestimur S.L. ( plan parcial),Eurohouses,"Sima
Arquitectura S.L ","Fortuna Hill es mucho más que un residencial, es disfrutar de una tarde de compras en su gran centro comercial, deleitarse con una exquisita propuesta gastronómica,jugar cada día al golf, dejarse mimar con los cuidados termales de nuestro Spa",30020,30,Residencial Unifamiliar, residencial y terciario que admite uso turístico,Vivienda unifamiliar pareada o adosada,"Viviendas plurifamiliares colectivas pareadas o adosadas y
edificaciones aisladas para uso terciario y turístico

",373736,2803,,,,,"9810,5",,abril 2004,28- septiembre 2004,09- septiembre 2004,38489,,,,"Tomás
Bernal Romero ",,,,,,,,,,,,,,,,,,"Juzgado:MERCANTIL nº 3  de ALICANTE (Alicante)
Procedimiento:12/2010
Declaración:10-03-2010
Concurso:Voluntario, Ordinario
Situación:En liquidación",,,,,,http://murciaeconomia.com/not/8778/,,
Isla del Fraile Resort,sector “Niágara”,"37.418071, -1.552746","Ctra. de Calabardina, 30880 ",Águilas,------,Región de Murcia,NOE - Nuevo desarrollo urbano,DEN - Desarrollo ligado a espacios naturales,Ruinas Modernas- Mediturban-,http://www.juliaschulzdornburg.com/cas/isla-del-fraile-resort?page_id=1251,,,Ruinas Modernas,415515,,,,,,,,Edificación terminada con uso parcial,"desmonte del terreno completo,  edificación de
sector RD1,RD2 de viviendas completados, sector RD5 parcialmente acabado (aprox. un 22,5% de la totalidad de la edificación), obra en estado de abandono.

","Dursa Inmobiliaria, Desarrollos Urbano Marítimos, S.L.","Aguileña de Contratas sl,
J. J Ros Restauración SL","EDSA
USA (master plan), José Bretón García, Joaquín Fiestas Gómez, Raúl García Sánchez y Jorge Sotelino Vico (proyectos)

","vas a recuperar sensaciones que creías olvidadas. Todo es aquí un placer para los sentidos, una sensación de paz y un clima que te permite disfrutar las cuatro estaciones del año. Viviendas de extraordinarias calidades con instalaciones para tenis, padel y natación, servicio de ludotecas y helipuerto, embarcadero y
anfiteatro.

",,,Residencial Colectivo,con campo de Golf,Volumen específico,viviendas colectivas en bloque escalonado. Viviendas unifamiliares,145143,1228,,,,,4298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marina de Cope ,AIR (Actuación de Interés Regional) Marina de Cope ,"37.451286,-1.494312","Cabo Cope, ",Águilas y Lorca,------,Región de Murcia,NEU - Nueva entidad urbana,DEO - Desarrollo ligado a instalaciones de ocio,Ruinas Modernas- Mediturban-Ecologistas en Acción,http://www.juliaschulzdornburg.com/cas/marina-de-cope?page_id=1256,,,Ruinas Modernas,,,,,,,,,Edificación no terminada,,,,,,,,Residencial Unifamiliar,,Vivienda unifamiliar pareada o adosada,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monte Aledo Resort,sector 6 “Cabezo de Molino”,"37.785097,-1.588683","polígono 6, paraje Cabezo del Molino,",Aledo,------,Región de Murcia,NEU - Nueva entidad urbana,DEO - Desarrollo ligado a instalaciones de ocio,Ruinas Modernas- Mediturban- ,http://www.juliaschulzdornburg.com/cas/monte-aledo-resort?page_id=1260,,,Ruinas Modernas,,,,,,,,,Edificación no terminada,,,,,,,,Residencial Unifamiliar,,Vivienda unifamiliar pareada o adosada,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trampolin Hills Golf Resort,Paraje “El Barril”,"38.02771,-1.340289","El Barril, ",Campos del Río,------,Región de Murcia,NEU - Nueva entidad urbana,DEO - Desarrollo ligado a instalaciones de ocio,Ruinas Modernas- Mediturban-Nación Rotonda,http://www.nacionrotonda.com/2013/06/trampolin-hills-campos-del-rio-murcia.html     http://www.juliaschulzdornburg.com/cas/trampolin-hills,,,Ruinas Modernas,,,,,,,,,Edificación no terminada,,,,,,,,Residencial Unifamiliar,,Vivienda unifamiliar pareada o adosada,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campo de Vuelo Residential,sector US 14-01 “Ciudad de Vuelo”,"37.753005, -1.302395","Crta. Alhama-Cartagena, km 31.300, ",Alhama de Murcia,------,Región de Murcia,NEU - Nueva entidad urbana,DEO - Desarrollo ligado a instalaciones de ocio,Ruinas Modernas- Mediturban- ,http://www.juliaschulzdornburg.com/cas/campo-de-vuelo-residential,,,Ruinas Modernas,,,,,,,,,Edificación no terminada,,,,,,,,Residencial Unifamiliar,,Vivienda unifamiliar pareada o adosada,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residencial La Loma Golf Resort,Zu-SP-MP5 “La Loma”,"37.850933,-1.06679","Pedanía Los Martinez del Puerto, partido de Bálsicas",Murcia,------,Región de Murcia,DEO - Desarrollo ligado a instalaciones de ocio,--,Ruinas Modernas,http://www.juliaschulzdornburg.com/cas/la-loma-golf-resort,,,Ruinas Modernas,,,,,,,,,Edificación no terminada,,,,,,,,Residencial Unifamiliar,,Vivienda unifamiliar pareada o adosada,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camposol?,"Zu-SP-GT9 "" Camposol""","37.852086,-1.043015",La Tercia-Gea y Truyols,Murcia,------,Región de Murcia,NEU - Nueva entidad urbana,--,Ruinas Modernas,http://www.juliaschulzdornburg.com/cas/camposol,,,Ruinas Modernas,,,,,,,,,Edificación no terminada,,,,,,,,Residencial Unifamiliar,,Vivienda unifamiliar pareada o adosada,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lo Santiago Hills,"ZU-SP-GT4 “El Trampolin”

","37.847799,-1.039281","Finca Los Santiago, Gea y Truyols",Murcia,------,Región de Murcia,NEU - Nueva entidad urbana,--,Ruinas Modernas,http://www.juliaschulzdornburg.com/cas/lo-santiago-hills,,,Ruinas Modernas,,,,,,,,,Edificación no terminada,,,,,,,,Residencial Unifamiliar,,Vivienda unifamiliar pareada o adosada,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Tercia II ?,sector ZU-SP-GT18 “La Tercia II”,"37.857473,-1.036234",Gea y Truyols,Murcia,------,Región de Murcia,NEU - Nueva entidad urbana,--,Ruinas Modernas,http://www.juliaschulzdornburg.com/cas/la-tercia-ii,,,Ruinas Modernas,,,,,,,,,Edificación no terminada,,,,,,,,Residencial Unifamiliar,,Vivienda unifamiliar pareada o adosada,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
