"","nombre_promocional","longitud","latitud","enlace_web","Tipo","geometry","corpse_category"
"1","La Torrecita, Albacete","-1.859289","39.009475","??????????",,,"Desenterrados"
"2","Cala de Mijas","-4.682864","36.508096","http://www.nacionrotonda.com/2013/05/cala-de-mijas-malaga-2003-2012.html",,,"Desenterrados"
"3","Juan Fernández","-16.417102","28.515026","http://www.nacionrotonda.com/2013/05/juan-fernandez-santa-cruz-de-tenerife.html",,,"Desenterrados"
"4","Maó","4.239023","39.886522","http://www.nacionrotonda.com/2013/05/mao-menorca-2003-2012.html",,,"Desenterrados"
"5","Málaga (oeste)","-4.496609","36.71967","http://www.nacionrotonda.com/2013/06/malaga-este.html",,,"Desenterrados"
"6","Humilladero","-4.697055","37.112779","http://www.nacionrotonda.com/2013/07/humilladero-malaga.html",,,"Desenterrados"
"7","El Higuerón","-4.844689","37.872838","http://www.nacionrotonda.com/2013/10/el-higueron-cordoba.html",,,"Desenterrados"
"8","Rosalejo","-5.149343","36.729238","http://www.nacionrotonda.com/2013/10/rosalejo-malaga.html",,,"Desenterrados"
"9","Casas del Soto de Tovilla","-4.517649","41.593808","http://www.nacionrotonda.com/2013/11/casas-del-soto-de-tovilla-valladolid.html",,,"Desenterrados"
"10","Los Carvajales","-4.694982","37.174251","http://www.nacionrotonda.com/2013/11/los-carvajales-malaga.html",,,"Desenterrados"
"11","Mollina","-4.664509","37.115944","http://www.nacionrotonda.com/2013/11/millena-malaga.html",,,"Desenterrados"
"12","Cáceres (oeste)","-6.400871","39.464199","http://www.nacionrotonda.com/2013/12/caceres-este.html",,,"Desenterrados"
"13","Cáceres (norte)","-6.35553","39.490022","http://www.nacionrotonda.com/2013/12/caceres-norte.html",,,"Desenterrados"
"14","La Torrecica","-1.813337","39.00535","http://www.nacionrotonda.com/2013/12/la-torrecita-albacete.html",,,"Desenterrados"
"15","Alhaurín de la Torre","-4.532189","36.665909","http://www.nacionrotonda.com/2014/01/alhaurin-de-la-torre-malaga.html",,,"Desenterrados"
"16","La Gaspara","-5.193238","36.410137","http://www.nacionrotonda.com/2014/01/la-gaspara-malaga.html",,,"Desenterrados"
"17","Cerecedas","-3.500781","43.457138","http://www.nacionrotonda.com/2014/02/cerecedas-cantabria.html",,,"Desenterrados"
"18","Agramunt","1.099529","41.786008","http://www.nacionrotonda.com/2014/03/agramunt-lleida.html",,,"Desenterrados"
"19","Alto de la Muela","-1.114525","41.61278","http://www.nacionrotonda.com/2014/03/alto-de-la-muela-la-muela-zaragoza.html",,,"Desenterrados"
