"","nombre_promocional","nombre_urbanistico","direccion","provincia","comunidad_autonoma","latitud","longitud","padre_adoptivo","corpse_category","creator"
"1","Residencial Puerta de Horche","SP Sector 18","N-320 s/n, Horche","Guadalajara","Castilla La Mancha","40.574256"," -3.076799","ruinas modernas","Desenterrado","Ruinas Modernas"
"2","Ciudad Solar Soto de Monteluz ","Sectores 26 y 27","Crt. de los Pantanos, 19140 Horche","Guadalajara","Castilla La Mancha","40.585208"," -3.096315",,"Desenterrado","Ruinas Modernas"
"3","Isla del Fraile Resort","sector “Niágara”","Ctra. de Calabardina, 30880 Aguilas ","Murcia","Murcia","37.418071"," -1.552746","ruinas modernas","Desenterrado","Ruinas Modernas"
"4","Residencial Costa Verde","SUP sector 2 “Alto del Cuco”","Boo-Alto del  Cuco, Piélagos, ","Santander","Cantabria","43.437056"," -3.928301","ruinas modernas","Desenterrado","Ruinas Modernas"
"5","Playa Macenas Beach & Golf Resort ","Sector 1 “macenas”","Playa de macenas, Mojacar","Almeria","Andalucía","37.080085"," -1.855302","ruinas modernas","Desenterrado","Ruinas Modernas"
"6","Complejo turístico y de ocio Calatrava ","Sector  con Plan Parcial","Salida 189 autovia A41 en el antiguo camino de Almagro cerca de Finca Doña Elena, termino Villamayor de Calatrava","Ciudad Real","Castilla La Mancha","38.798931"," -4.075210","ruinas modernas","Desenterrado","Ruinas Modernas"
"7","Golden Sun Beach & Golf Resort","Sector Costa-1","Calle pacifico, San Juan de Terreros, Pulpí","Almeria","Andalucía","37.368716"," -1.672693","ruinas modernas","Desenterrado","Ruinas Modernas"
"8","El Reino de Don Quijote","PSI Complejo de Ocio el Reino de Don Quijote (2002), Sector S-ERDQ el Reino de Don Quijote (2008)","El Reino, Crta. Ciudad Real a Toledo, Ciudad Real ","Ciudad Real","Castilla La Mancha","39.046086"," -3.917224","ruinas modernas","Desenterrado","Ruinas Modernas"
"9","Residencial Alba Marina","Sector U4-Ur","Camino de las Viñas. Alba de Tormes. ","Salamanca","Castilla y León","40.855039"," -5.493106","ruinas modernas","Desenterrado","Ruinas Modernas"
"10","Complejo de Aventuras Meseta Ski","PIR Complejo de Ocio y Aventura Meseta-Ski","Ladera norte del cerro de «San Juan», en Villavieja del Cerro, pedanía del municipio de Tordesillas","Valladolid","Castilla y León","41.532363"," -5.041180","ruinas modernas","Desenterrado","Ruinas Modernas"
"11","parque empresarial Tordesillas sector I","plan parcial del sector I actuación logística industrial  Tordesillas",,"Valladolid","Castilla y León","41.515728"," -5.015893","ruinas modernas","Desenterrado","Ruinas Modernas"
"12","Lomas de Valparaiso","Sector “el Cubeto”","Pk. 303 de la Carretera nacional N-630 Corrales del Vino,","Zamora","Castilla y León","41.288411"," -5.721931","ruinas modernas","Desenterrado","Ruinas Modernas"
"13","Urbanización Vilamagna","sector URB-27 “Nuevos Naharros”","ctra de Santa Marta de Tormes a Nuevo Naharros, pelabravo","Salamanca","Castilla y León","40.959116"," -5.585673","ruinas modernas","Desenterrado","Ruinas Modernas"
"14","Urbanización La Ladera ","Sector UBZ-26","ctra de Santa Marta de Tormes a Nuevo Naharros, pelabravo","Salamanca","Castilla y León","40.959527"," -5.590950","ruinas modernas","Desenterrado","Ruinas Modernas"
"15","Urbanización Dominion Heights","UEN-C13 “Arroyo Barranco”","Dominion Heights, El Velerín, Estepona","Malaga","Andalucía","36.451912"," -5.091359","ruinas modernas","Desenterrado","Ruinas Modernas"
"16","Urbanización Llanos de la Boladilla","Sector SUP-C-9, Llanos de la Boladilla","Estepona","Malaga","Andalucía","36.454514"," -5.072458","ruinas modernas","Desenterrado","Ruinas Modernas"
"17","Los Altos de Estepona  ","SUP-R8 “Altos de Estepona”","Ctra Gral. de Genalguacil Km.2 Estepona","Malaga","Andalucía","36.440520"," -5.151022","ruinas modernas","Desenterrado","Ruinas Modernas"
"18","Complejo residencial y comercial La Hacienda ","SUP- Sector Montemayor Bajo","Benahavis,","Malaga","Andalucía","36.484720"," -5.057767","ruinas modernas","Desenterrado","Ruinas Modernas"
"19","Balcones de la Galera, Estepona ","Sector UEP - 010 ""La Galera I""","Punto kilométrico 148,700 de la CN-340, La Gaspara, Estepona, Málaga","Malaga","Andalucía","36.398340"," -5.204205","ruinas modernas","Desenterrado","Ruinas Modernas"
"20","Gran Scala, Monegros",,"Ontiñena, Huesca","Huesca","Aragón","41.577084"," -0.003098","ruinas modernas","Desenterrado","Ruinas Modernas"
"21","La Mota, Alhaurín el Grande","Sector UR 9, “La Mota”","Urbanizacion UR9, 21 29120 Alhaurín el Grande","Malaga","Andalucía","36.661966"," -4.717848","ruinas modernas","Desenterrado","Ruinas Modernas"
"22","Buenavista, Mijas","Sector SUP S-11 (RT) ""Buenavista""","Autovía A-368, 29650. Mijas, ","Malaga","Andalucía","36.592723"," -4.609483","ruinas modernas","Desenterrado","Ruinas Modernas"
"23","Puerto de Ojén, Málaga","Sector AU-11 “Puerto de Ojén”","Autovías A-355 y A-7103, 29610. Ojén","Malaga","Andalucía","36.584189"," -4.849649","ruinas modernas","Desenterrado","Ruinas Modernas"
"24","Alondras, Otura, Granada","Sector S-5","Avenida Villa de Otura, Otur, Granada","Granada","Andalucía","37.078351"," -3.624167","ruinas modernas","Desenterrado","Ruinas Modernas"
"25","Marina Cope, Aguilas, Murcia","AIR (Actuación de Interés Regional) Marina de Cope ",,"Murcia","Murcia","37.451286","-1.494312","ruinas modernas","Desenterrado","Ruinas Modernas"
"26","Carmenes de suspiro, Dilar, Granada"," UE-18 “Cañadas del Parque”","N-323a, Dílar, ","Granada","Andalucía","37.056485"," -3.643509","ruinas modernas","Desenterrado","Ruinas Modernas"
"27","Alhendín, Granada","sector IND-01 “Pago el Marchal”","Av. de Frontilin, 2. 18620. Alhendín","Granada","Andalucía","37.066894"," -3.701404","ruinas modernas","Desenterrado","Ruinas Modernas"
"28","Urbanización Lomas de Buenos Aires","Sector “Puerto Lobo”","intersección de la N-342 con la GR-NE52, Viznar","Granada","Andalucía","37.220169"," -3.537600","ruinas modernas","Desenterrado","Ruinas Modernas"
"29","San Mateo Gallego, Zaragoza","PP1 “El Saboyal” "," el Saboyal, San Mateo de Gállego","Zaragoza","Aragón","41.818836"," -0.742107","ruinas modernas","Desenterrado","Ruinas Modernas"
"30","Urcamusa Norte, Zaragoza","Sector 1 Alto de la Muela Norte","Camino de la Sagrada, Alto de la Muela Norte","Zaragoza","Aragón","41.596190"," -1.099015","ruinas modernas","Desenterrado","Ruinas Modernas"
"31","Ciudad Zaragoza Golf, Zaragoza","Sector 3.1 PR, Sector 3.2.1, Sector 3.2.2, Sector 3.2.3

","Autovía del Nordeste,
50196, La Muela, ","Zaragoza","Aragón","41.612441"," -1.060391","ruinas modernas","Desenterrado","Ruinas Modernas"
"32","Residencial Lomas de Guillena","Sector "" Camino de Garrobo""",,"Sevilla","Andalucía","37.582749"," -6.113762","ruinas modernas","Desenterrado","Ruinas Modernas"
"33","Argentum, Salteras, Sevilla","Sector Sur ""Ruta de la Plata"" PPI 4.1","Ctra. Nacional 630, km 805. Salteras, Sevilla","Sevilla","Andalucía","37.461153"," -6.051431","ruinas modernas","Desenterrado","Ruinas Modernas"
"34","Costa Esuri, Ayamonte, Huelva","Sector nº1 “Puente Esuri”","Av. Vicente Alexandre, 21400. Ayamonte","Huelva","Andalucía","37.257293"," -7.407617","ruinas modernas","Desenterrado","Ruinas Modernas"
"35","Marina D'or Golf, castellón","PAI Marina d’Or Golf",,"Castellón","Valencia","40.127695"," 0.119068","ruinas modernas","Desenterrado","Ruinas Modernas"
"36","La oliva sun city health centre","Plan Parcial Peña Erguida","UR. Peña Erguida, 35640, La Oliva. Fuerteventura","Las Palmas","Canarias","28.597564"," -13.837320","ruinas modernas","Desenterrado","Ruinas Modernas"
"37","Urbanización La Oliva Casas & Golf , Fuerteventura","SAU-11 Atalaya Dorada","lindante de la Capellanía, La Oliva, Fuerteventura ","Las Palmas","Canarias","28.684003"," -13.879656","ruinas modernas","Desenterrado","Ruinas Modernas"
"38","Casilla de Costa, Fuerteventura","SAU PSI-1 Casilla de Costa","Ctra. Francisco Bordón Méndez s/n, La Oliva, Fuerteventura","Las Palmas","Canarias","28.657989"," -13.894037","ruinas modernas","Desenterrado","Ruinas Modernas"
