Name,Location,Haz Click Aquí,Tipo,geometry
"La Torrecita, Albacete","<Point><coordinates>-1.859289,39.009475,0.0</coordinates></Point>",??????????,,
Cala de Mijas,"<Point><coordinates>-4.682864,36.508096,0.0</coordinates></Point>",http://www.nacionrotonda.com/2013/05/cala-de-mijas-malaga-2003-2012.html,,
Juan Fernández,"<Point><coordinates>-16.417102,28.515026,0.0</coordinates></Point>",http://www.nacionrotonda.com/2013/05/juan-fernandez-santa-cruz-de-tenerife.html,,
Maó,"<Point><coordinates>4.239023,39.886522,0.0</coordinates></Point>",http://www.nacionrotonda.com/2013/05/mao-menorca-2003-2012.html,,
Málaga (oeste),"<Point><coordinates>-4.496609,36.71967,0.0</coordinates></Point>",http://www.nacionrotonda.com/2013/06/malaga-este.html,,
Humilladero,"<Point><coordinates>-4.697055,37.112779,0.0</coordinates></Point>",http://www.nacionrotonda.com/2013/07/humilladero-malaga.html,,
El Higuerón,"<Point><coordinates>-4.844689,37.872838,0.0</coordinates></Point>",http://www.nacionrotonda.com/2013/10/el-higueron-cordoba.html,,
Rosalejo,"<Point><coordinates>-5.149343,36.729238,0.0</coordinates></Point>",http://www.nacionrotonda.com/2013/10/rosalejo-malaga.html,,
Casas del Soto de Tovilla,"<Point><coordinates>-4.517649,41.593808,0.0</coordinates></Point>",http://www.nacionrotonda.com/2013/11/casas-del-soto-de-tovilla-valladolid.html,,
Los Carvajales,"<Point><coordinates>-4.694982,37.174251,0.0</coordinates></Point>",http://www.nacionrotonda.com/2013/11/los-carvajales-malaga.html,,
Mollina,"<Point><coordinates>-4.664509,37.115944,0.0</coordinates></Point>",http://www.nacionrotonda.com/2013/11/millena-malaga.html,,
Cáceres (oeste),"<Point><coordinates>-6.400871,39.464199,0.0</coordinates></Point>",http://www.nacionrotonda.com/2013/12/caceres-este.html,,
Cáceres (norte),"<Point><coordinates>-6.35553,39.490022,0.0</coordinates></Point>",http://www.nacionrotonda.com/2013/12/caceres-norte.html,,
La Torrecica,"<Point><coordinates>-1.813337,39.00535,0.0</coordinates></Point>",http://www.nacionrotonda.com/2013/12/la-torrecita-albacete.html,,
Alhaurín de la Torre,"<Point><coordinates>-4.532189,36.665909,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/01/alhaurin-de-la-torre-malaga.html,,
La Gaspara,"<Point><coordinates>-5.193238,36.410137,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/01/la-gaspara-malaga.html,,
Cerecedas,"<Point><coordinates>-3.500781,43.457138,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/02/cerecedas-cantabria.html,,
Agramunt,"<Point><coordinates>1.099529,41.786008,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/03/agramunt-lleida.html,,
Alto de la Muela,"<Point><coordinates>-1.114525,41.61278,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/03/alto-de-la-muela-la-muela-zaragoza.html,,
A Manchica,"<Point><coordinates>-7.924067,42.223698,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/03/a-manchica-ourense.html,,
Arroyo de Retamares,"<Point><coordinates>-3.822832,40.403452,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/03/arroyo-de-retamares-madrid.html,,
Béjar,"<Point><coordinates>-5.791578,40.40064,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/03/bejar-salamanca.html,,
Trujillo,"<Point><coordinates>-5.846407,39.483953,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/03/belen-caceres.html,,
Cabañas de la Dornilla,"<Point><coordinates>-6.598854,42.62509,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/03/cabanas-de-la-dornilla-leon.html,,
Callús,"<Point><coordinates>1.788645,41.782716,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/03/callus-barcelona.html,,
Hervás,"<Point><coordinates>-5.882089,40.282384,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/03/hervas-caceres.html,,
Irún,"<Point><coordinates>-1.810274,43.332818,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/03/irun-guipuzcoa.html,,
L'Ametlla de Mar,"<Point><coordinates>0.7881,40.868542,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/03/lametlla-de-mar-tarragona.html,,
Las Cabezas de San Juan,"<Point><coordinates>-5.937844,36.984717,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/03/las-cabezas-de-san-juan-sevilla.html,,
Olivenza,"<Point><coordinates>-7.094224,38.677394,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/03/olivenza-badajoz.html,,
Parque de Maquinaria ACS-Dragados,"<Point><coordinates>-3.677868,40.165431,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/03/parque-de-maquinaria-acs-dragados-madrid.html,,
Pobladura de Bernesga,"<Point><coordinates>-5.638088,42.657228,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/03/pobladura-de-bernesga-leon.html,,
Rock in Río,"<Point><coordinates>-3.403443,40.2636,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/03/rock-in-rio-arganda-del-rey-madrid.html,,
San Agustín del Guadalix,"<Point><coordinates>-3.614427,40.680653,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/03/san-agustin-de-guadalix-madrid.html,,
"Son Blanc, Ibiza","<Point><coordinates>3.842076,39.993173,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/03/son-blanc-menorca-islas-baleares.html,,
Valdelamusa,"<Point><coordinates>-6.86008,37.78086,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/03/valdelamusa-huelva.html,,
ZAL Bahía de Algeciras,"<Point><coordinates>-5.432682,36.231222,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/03/zal-bahia-de-algeciras-estacion-ferrea.html,,
Zamora (este),"<Point><coordinates>-5.723313,41.518804,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/03/zamora-este-zamora.html,,
Aguadulce II,"<Point><coordinates>-2.583757,36.803138,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/04/aguadulce-ii-almeria.html,,
Ardales,"<Point><coordinates>-4.845788,36.878486,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/04/ardales-malaga.html,,
As pontes de García Rodríguez,"<Point><coordinates>-7.880538,43.462812,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/04/as-pontes-de-garcia-rodriguez-coruna.html,,
Barcellina,"<Point><coordinates>-6.524799,43.540322,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/04/barcellina-asturias.html,,
Berango,"<Point><coordinates>-2.995001,43.365173,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/04/berango-bizkaia.html,,
Campamento,"<Point><coordinates>-3.777131,40.39003,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/04/campamento-madrid.html,,
Celada,"<Point><coordinates>-6.027661,42.42661,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/04/celada-leon.html,,
Circuito de Cheste,"<Point><coordinates>-0.624835,39.487577,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/04/circuito-de-cheste-valencia.html,,
El Casalot,"<Point><coordinates>0.921256,41.027209,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/04/el-casalot-tarragona.html,,
Golf Ría de Vigo,"<Point><coordinates>-8.687826,42.301748,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/04/golf-ria-de-vigo-pontevedra.html,,
Llanes,"<Point><coordinates>-4.761642,43.423809,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/04/llanes-asturias.html,,
Loeches,"<Point><coordinates>-3.415648,40.386173,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/04/loeches-madrid.html,,
Los Geraneos,"<Point><coordinates>-1.545796,37.426333,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/04/los-geraneos-murcia.html,,
Málaga,"<Point><coordinates>-4.407664,36.720485,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/04/malaga.html,,
Monforte de Lemos,"<Point><coordinates>-7.495598,42.542708,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/04/monforte-de-lemos-lugo.html,,
Móstoles (Oeste),"<Point><coordinates>-3.895817,40.29954,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/04/mostoles-oeste-madrid.html,,
Muel,"<Point><coordinates>-1.105057,41.489619,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/04/muel-zaragoza.html,,
Nuevo Mestalla,"<Point><coordinates>-0.395923,39.489358,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/04/nuevo-mestalla-valencia.html,,
Ocaña,"<Point><coordinates>-3.496835,39.946271,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/04/ocana-toledo.html,,
Orozko,"<Point><coordinates>-2.910271,43.106469,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/04/orozko-bizkaia.html,,
Oviedo (este),"<Point><coordinates>-5.818324,43.381218,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/04/oviedo-este-asturias.html,,
Palomares II,"<Point><coordinates>-1.8196,37.24022,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/04/palomares-ii-almeria.html,,
Parquesol,"<Point><coordinates>-4.774374,41.633679,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/04/parquesol-valladolid.html,,
Santa Isabel,"<Point><coordinates>-0.827482,41.668379,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/04/santa-isabel-zaragoza.html,,
Santa María del Águila,"<Point><coordinates>-2.772327,36.786286,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/04/santa-maria-del-aguila-almeria.html,,
Soto del Real,"<Point><coordinates>-3.743749,40.761132,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/04/soto-del-real-madrid.html,,
Tamaduste,"<Point><coordinates>-17.895315,27.826241,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/04/tamaduste-el-hierro-santa-cruz-de.html,,
Camposol,"<Point><coordinates>-1.365592,37.662894,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/05/camposol-murcia.html,,
